WikidataID;labelWikidata;PredictedClass
Q76;Barack Obama;PERSON
Q207;George W. Bush;PERSON
Q240126;bullying;LOCATION
Q179742;prejudice;LOCATION
Q22686;Donald Trump;PERSON
Q22686;Donald Trump;PERSON
Q22686;Donald Trump;PERSON
Q207;George W. Bush;PERSON
Q1414593;Patient Protection and Affordable Care Act;LOCATION
Q47740;Muslim;LOCATION
Q21707860;Paris Agreement;LOCATION
Q25395;Newark;LOCATION
Q2521385;Richmond Football Club;LOCATION
Q1370;Virginia;LOCATION
Q23505;George H. W. Bush;PERSON
Q179742;prejudice;LOCATION
Q159535;conspiracy theory;LOCATION
Q7174;democracy;LOCATION
Q6235;nationalism;LOCATION
Q1969722;nativism;LOCATION
Q12948581;copyright;LOCATION
Q22686;Donald Trump;PERSON
Q22686;Donald Trump;PERSON
Q23505;George H. W. Bush;PERSON
Q29468;Republican Party;ORGANISATION
Q2521385;Richmond Football Club;LOCATION
Q1370;Virginia;LOCATION
Q76;Barack Obama;PERSON
Q22686;Donald Trump;PERSON
Q43437;procuring;LOCATION
Q29468;Republican Party;ORGANISATION
Q207;George W. Bush;PERSON
Q179742;prejudice;LOCATION
Q7174;democracy;LOCATION
